customer_id,age,tenure_months,monthly_charges,contract_type,internet_service,tech_support,online_security,payment_method,customer_service_calls,churn
1074,23,1,40.94,Month-to-month,DSL,No,No,Credit card,1,1
956,66,64,60.21,One year,Fiber optic,No,No,Bank transfer,2,0
1166,35,16,57.63,Month-to-month,Fiber optic,No,Yes,Electronic check,2,1
2906,40,65,143.82,Month-to-month,No,No,No,Electronic check,1,1
3743,18,64,77.25,Month-to-month,DSL,Yes,No,Bank transfer,1,0
2171,51,11,47.96,Two year,DSL,No,Yes,Bank transfer,1,1
3336,55,17,30.5,Month-to-month,Fiber optic,No,No,Bank transfer,0,1
4449,21,14,147.09,Month-to-month,DSL,No,No,Credit card,2,1
2511,41,42,78.19,Month-to-month,DSL,No,No,Credit card,0,1
2520,21,55,105.0,One year,Fiber optic,Yes,Yes,Electronic check,3,0
251,51,2,141.79,Two year,Fiber optic,No,No,Bank transfer,2,1
4778,49,30,96.36,Month-to-month,Fiber optic,Yes,Yes,Electronic check,2,1
183,45,17,141.38,One year,Fiber optic,Yes,Yes,Credit card,5,0
3364,19,16,49.9,Month-to-month,DSL,Yes,No,Electronic check,2,1
3508,37,35,124.3,One year,Fiber optic,Yes,Yes,Bank transfer,1,0
679,34,49,65.49,Month-to-month,DSL,Yes,Yes,Bank transfer,2,1
4202,66,44,25.56,Month-to-month,Fiber optic,No,Yes,Electronic check,2,1
2474,66,57,53.83,One year,DSL,No,Yes,Electronic check,4,1
1544,53,60,99.58,Month-to-month,Fiber optic,No,No,Bank transfer,4,1
3636,51,25,137.71,Two year,No,No,No,Bank transfer,3,1
2114,58,44,126.24,Two year,Fiber optic,Yes,No,Bank transfer,3,1
2186,57,62,117.26,Month-to-month,Fiber optic,Yes,Yes,Credit card,3,0
121,58,61,103.56,Two year,Fiber optic,No,Yes,Bank transfer,3,0
2609,23,22,123.43,Month-to-month,DSL,No,No,Credit card,2,1
3127,20,12,46.6,Month-to-month,Fiber optic,No,Yes,Electronic check,2,1
537,53,53,47.79,Month-to-month,Fiber optic,No,Yes,Credit card,2,1
4336,27,47,48.17,Two year,Fiber optic,Yes,No,Credit card,1,1
1064,53,10,134.07,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,1
890,44,43,52.08,Two year,DSL,No,No,Electronic check,4,1
4830,36,19,117.62,Two year,No,Yes,Yes,Electronic check,0,1
3687,34,13,34.38,One year,Fiber optic,No,Yes,Credit card,1,1
1143,52,24,48.98,Month-to-month,Fiber optic,Yes,No,Electronic check,1,1
2454,39,66,48.23,Month-to-month,DSL,No,Yes,Electronic check,3,0
113,34,46,82.01,Month-to-month,DSL,Yes,No,Credit card,0,1
608,52,42,142.59,Month-to-month,DSL,No,No,Bank transfer,2,1
3270,41,58,95.05,One year,Fiber optic,No,Yes,Electronic check,2,1
831,48,6,42.2,Two year,No,Yes,No,Electronic check,3,1
555,44,63,126.11,Month-to-month,DSL,No,Yes,Credit card,3,1
1845,59,56,143.38,Month-to-month,No,No,Yes,Electronic check,2,1
969,34,60,61.51,Month-to-month,No,Yes,Yes,Credit card,5,1
1228,32,35,73.48,Two year,Fiber optic,No,Yes,Credit card,1,1
3460,26,48,143.33,Month-to-month,Fiber optic,No,Yes,Bank transfer,3,1
472,64,51,100.3,Month-to-month,No,No,No,Credit card,3,1
3590,34,53,41.09,Month-to-month,DSL,No,No,Bank transfer,2,1
380,23,29,53.89,Month-to-month,Fiber optic,No,Yes,Bank transfer,2,1
2857,65,9,40.65,Two year,No,Yes,Yes,Credit card,3,1
3030,32,57,137.13,One year,Fiber optic,Yes,No,Bank transfer,5,1
4927,29,3,58.0,Month-to-month,No,Yes,No,Electronic check,3,1
682,63,63,36.35,One year,Fiber optic,Yes,No,Electronic check,2,1
3899,62,16,82.95,Month-to-month,Fiber optic,No,Yes,Electronic check,2,1
3343,38,19,126.5,Month-to-month,No,Yes,No,Bank transfer,4,1
3431,26,15,141.88,Month-to-month,DSL,No,Yes,Credit card,3,1
4991,45,39,106.03,Month-to-month,Fiber optic,No,No,Bank transfer,0,1
2841,38,62,36.96,Month-to-month,No,No,Yes,Credit card,2,1
1553,22,23,141.75,One year,DSL,Yes,Yes,Electronic check,1,1
1981,41,3,135.81,Month-to-month,Fiber optic,Yes,No,Bank transfer,0,1
2318,64,41,124.78,One year,No,No,Yes,Bank transfer,2,0
4530,23,40,133.79,Month-to-month,Fiber optic,No,No,Bank transfer,2,1
4682,20,47,30.71,One year,Fiber optic,Yes,Yes,Electronic check,1,1
2009,47,59,103.89,Month-to-month,No,No,No,Credit card,2,1
280,28,36,131.37,Month-to-month,Fiber optic,No,No,Bank transfer,2,1
2837,38,54,53.05,Month-to-month,DSL,No,No,Credit card,1,0
2470,53,9,21.83,Two year,No,No,No,Electronic check,4,0
2367,63,5,32.6,One year,Fiber optic,Yes,No,Bank transfer,5,1
3713,60,31,136.45,Month-to-month,Fiber optic,No,Yes,Bank transfer,3,1
384,41,61,41.95,Two year,No,No,Yes,Electronic check,3,0
3664,24,55,69.89,Month-to-month,DSL,No,No,Credit card,1,1
291,43,57,98.74,Two year,DSL,Yes,Yes,Credit card,4,0
1955,31,23,87.17,One year,DSL,Yes,No,Credit card,4,1
3412,67,64,111.31,Month-to-month,No,No,No,Bank transfer,0,1
3973,51,31,112.21,One year,DSL,No,No,Credit card,2,1
3495,28,34,94.68,Month-to-month,Fiber optic,Yes,No,Electronic check,1,1
3058,33,13,138.46,Two year,Fiber optic,Yes,Yes,Electronic check,3,1
3308,56,39,123.17,Two year,No,No,Yes,Electronic check,2,0
929,57,22,133.52,Month-to-month,No,No,No,Credit card,3,1
4462,48,2,133.08,Month-to-month,No,No,No,Bank transfer,0,1
3363,66,7,129.48,Month-to-month,Fiber optic,No,Yes,Electronic check,1,1
3667,21,44,105.95,Month-to-month,Fiber optic,Yes,No,Credit card,2,1
4125,31,8,63.77,One year,Fiber optic,Yes,Yes,Credit card,3,1
3889,25,6,126.27,Month-to-month,Fiber optic,No,No,Bank transfer,6,1
2208,31,10,119.9,Month-to-month,Fiber optic,Yes,No,Electronic check,3,1
3710,63,38,143.82,Two year,DSL,No,Yes,Electronic check,1,0
1273,65,47,95.02,One year,DSL,No,Yes,Bank transfer,1,0
477,30,53,124.18,Two year,Fiber optic,Yes,Yes,Bank transfer,2,1
2745,42,42,87.91,Month-to-month,Fiber optic,Yes,Yes,Credit card,0,0
4509,28,44,117.44,Month-to-month,Fiber optic,No,No,Electronic check,2,1
